,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Deutschland,Deutschland,LOC,-0.07550077,0.13097072,de,64.90000000,,2921044.00000000,A,51.50000000,10.50000000,EUROPE,Deutschland,WCE
Europa,Europa,LOC,0.18513120,0.15306122,de,34.30000000,,6255148.00000000,L,48.69096000,9.14062000,EUROPE,,WCE
Privacy Center,Privacy Center,LOC,0.00000000,0.00000000,de,27.10000000,,0.00000000,,,,,,
Deutschlands,Deutschlands,LOC,0.06748466,0.00000000,de,16.30000000,,0.00000000,,,,,,
Berlin,Berlin,LOC,-0.08282209,0.21472393,de,16.30000000,,2950159.00000000,P,52.52437000,13.41053000,EUROPE,Deutschland,WCE
Hamburg,Hamburg,LOC,-0.02413793,0.19540230,de,14.50000000,,2911298.00000000,P,53.55073000,9.99302000,EUROPE,Deutschland,WCE
Energiewende,Energiewende,LOC,0.43382353,0.00000000,de,13.60000000,,0.00000000,,,,,,
Bayern,Bayern,LOC,-0.05147059,0.18382353,de,13.60000000,,2951839.00000000,A,49.00000000,11.50000000,EUROPE,Deutschland,WCE
Frankfurt,Frankfurt,LOC,-0.15596330,0.00000000,de,10.90000000,,2925533.00000000,P,50.11552000,8.68417000,EUROPE,Deutschland,WCE
Österreich,Österreich,LOC,0.24922118,0.26479751,de,10.70000000,,2782113.00000000,A,47.33333000,13.33333000,EUROPE,Österreich,WCE
Frankreich,Frankreich,LOC,-0.02000000,0.05000000,de,10.00000000,,3017382.00000000,A,46.00000000,2.00000000,EUROPE,Frankreich,WCE
Europas,Europas,LOC,0.07000000,0.10000000,de,10.00000000,,0.00000000,,,,,,
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.09500000,0.25000000,de,10.00000000,,2874545.00000000,P,52.12773000,11.62916000,EUROPE,Deutschland,WCE
China,China,LOC,0.00000000,0.00000000,de,9.10000000,,1814991.00000000,A,35.00000000,105.00000000,ASIA,China,EAS
Erde,Erde,LOC,-0.03472222,0.00000000,de,7.20000000,,6295630.00000000,L,0.00000000,0.00000000,ATLANTIC,,EAO
Schleswig-Holstein,Schleswig-Holstein,LOC,-0.21875000,0.00000000,de,6.40000000,,2838632.00000000,A,54.20000000,9.75000000,EUROPE,Deutschland,NEU
Hitzewelle,Hitzewelle,LOC,-0.14843750,0.35156250,de,6.40000000,,0.00000000,,,,,,
Akku,Akku,LOC,0.76562500,0.00000000,de,6.40000000,,-1.00000000,,,,EUROPE,Kazakhstan,EEU
Sachsen,Sachsen,LOC,0.00000000,0.31250000,de,6.40000000,,2842565.00000000,A,52.00000000,11.73330000,EUROPE,Deutschland,WCE
Wärmewende,Wärmewende,LOC,0.00000000,0.00000000,de,5.50000000,,0.00000000,,,,,,
Niedersachsen,Niedersachsen,LOC,0.00000000,0.00000000,de,5.50000000,,2862926.00000000,A,52.83333000,9.16667000,EUROPE,Deutschland,WCE
Australien,Australien,LOC,0.14848485,0.15151515,de,5.50000000,,2077456.00000000,A,-25.00000000,135.00000000,OCEANIA,Australien,CAU
…,…,LOC,0.12727273,0.00000000,de,5.50000000,,0.00000000,,,,,,
Landes,Landes,LOC,0.00000000,0.00000000,de,4.60000000,,3007868.00000000,L,44.25000000,-1.00000000,EUROPE-AFRICA,Frankreich,MED
