,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,,,de,62.19999999999993
"Link
","Link
",MISC,,,de,28.899999999999984
deutsche,deutsche,MISC,,,de,16.300000000000004
deutschen,deutschen,MISC,,,de,10.900000000000002
Energiewende“,Energiewende“,MISC,,,de,10.000000000000002
UPDATE startest du jeden Morgen,UPDATE startest du jeden Morgen,MISC,,,de,8.200000000000001
Tag,Tag,MISC,,,de,8.200000000000001
Kernfusion,Kernfusion,MISC,3.65,0.0,de,7.300000000000001
ePaper,ePaper,MISC,,,de,7.300000000000001
Deutschen,Deutschen,MISC,,,de,5.5
Klimawandel“,Klimawandel“,MISC,,,de,4.6
PV-Anlage,PV-Anlage,MISC,,,de,4.6
chinesischen,chinesischen,MISC,,,de,3.6999999999999997
Iran-Krieg,Iran-Krieg,MISC,,,de,3.6999999999999997
indigener,indigener,MISC,,,de,3.6999999999999997
Die Energiewende,Die Energiewende,MISC,,,de,3.6999999999999997
Wärmewende“,Wärmewende“,MISC,,,de,3.6999999999999997
Anschluss,Anschluss,MISC,,,de,3.6999999999999997
sächsische,sächsische,MISC,,,de,3.6999999999999997
Schweizer,Schweizer,MISC,,,de,3.6999999999999997
Ortsbesuch,Ortsbesuch,MISC,,,de,3.6999999999999997
hessischen,hessischen,MISC,,,de,3.6999999999999997
indische,indische,MISC,,,de,2.8
Kabinett,Kabinett,MISC,,,de,2.8
Deutschem,Deutschem,MISC,,,de,2.8
CO2-Batterie,CO2-Batterie,MISC,,,de,2.8
The Smarter E Europe,The Smarter E Europe,MISC,,,de,2.8
S…,S…,MISC,,,de,2.8
Klimawandels“,Klimawandels“,MISC,,,de,2.8
Die Presse“,Die Presse“,MISC,,,de,1.9
Science Lounge,Science Lounge,MISC,,,de,1.9
Experten-Talk,Experten-Talk,MISC,,,de,1.9
Windräder,Windräder,MISC,0.1891891891891892,0.0,de,1.9
Überall auf der Welt,Überall auf der Welt,MISC,,,de,1.9
Forschungsministerin Bär,Forschungsministerin Bär,MISC,,,de,1.9
Grüner Wasserstoff,Grüner Wasserstoff,MISC,,,de,1.9
Erneuerbaren-Ausbau-Beschleunigungs-Gesetz,Erneuerbaren-Ausbau-Beschleunigungs-Gesetz,MISC,,,de,1.9
EABG,EABG,MISC,,,de,1.9
️ Ein Podcast,️ Ein Podcast,MISC,,,de,1.9
CO2-Speicherung,CO2-Speicherung,MISC,,,de,1.9
soziale,soziale,MISC,,,de,1.9
Hause,Hause,MISC,,,de,1.9
Heizungsgesetzes,Heizungsgesetzes,MISC,,,de,1.9
HiTHIUM,HiTHIUM,MISC,,,de,1.9
Baustein für Energiewende,Baustein für Energiewende,MISC,,,de,1.9
Irankriegs,Irankriegs,MISC,,,de,1.9
The smarter E,The smarter E,MISC,,,de,1.9
Auf Branchenevents,Auf Branchenevents,MISC,,,de,1.9
June 29,June 29,MISC,,,de,1.9
europäischen,europäischen,MISC,,,de,1.9
Fraunhofer-Instituts,Fraunhofer-Instituts,MISC,,,de,1.9
Todesfällen,Todesfällen,MISC,,,de,1.9
Diskurs über die Klimakrise,Diskurs über die Klimakrise,MISC,,,de,1.9
Wärmepumpe,Wärmepumpe,MISC,0.3684210526315789,0.0,de,1.9
s…,s…,MISC,,,de,1.9
AKW,AKW,MISC,,,de,1.9
LONDON,LONDON,MISC,,,de,1.9
Wärmepumpen,Wärmepumpen,MISC,0.0,0.0,de,1.9
Das Wettermuster,Das Wettermuster,MISC,,,de,1.9
Lithium-Akkus,Lithium-Akkus,MISC,,,de,1.9
Trump-Regierung,Trump-Regierung,MISC,,,de,1.9
Lobby-Einfluss,Lobby-Einfluss,MISC,,,de,1.9
französischen,französischen,MISC,,,de,1.9
Qual,Qual,MISC,,,de,1.9
Zeit,Zeit,MISC,,,de,1.9
Schü­le­r,Schü­le­r,MISC,,,de,1.9
Wärmeplan“,Wärmeplan“,MISC,,,de,1.9
Hamburger,Hamburger,MISC,,,de,1.9
Stuttgarter,Stuttgarter,MISC,,,de,1.9
Millio…,Millio…,MISC,,,de,1.9
französische,französische,MISC,,,de,1.9
IEA,IEA,MISC,,,de,1.9
Benzin-Ethanol-Gemischs,Benzin-Ethanol-Gemischs,MISC,,,de,1.9
UN-Konventionen,UN-Konventionen,MISC,,,de,1.9
Unsere Sonne,Unsere Sonne,MISC,,,de,1.9
deutscher,deutscher,MISC,,,de,1.9
Klimakrisen-Wahlempfehlung“,Klimakrisen-Wahlempfehlung“,MISC,,,de,1.9
Tesvolt,Tesvolt,MISC,,,de,1.9
Irankrieges,Irankrieges,MISC,,,de,1.9
AMOC,AMOC,MISC,,,de,1.9
Energiewende-Gesetz,Energiewende-Gesetz,MISC,,,de,1.9
bayerische,bayerische,MISC,,,de,1.0
KI-Boom,KI-Boom,MISC,,,de,1.0
investierbar“,investierbar“,MISC,,,de,1.0
Der deutsche Markt,Der deutsche Markt,MISC,,,de,1.0
Energie“,Energie“,MISC,,,de,1.0
Erneuerba…,Erneuerba…,MISC,,,de,1.0
Xataka.com,Xataka.com,MISC,,,de,1.0
V…,V…,MISC,,,de,1.0
Soja“,Soja“,MISC,,,de,1.0
t3n.de Jim Franke,t3n.de Jim Franke,MISC,,,de,1.0
Lithiumbatterien,Lithiumbatterien,MISC,,,de,1.0
CO2,CO2,MISC,,,de,1.0
Klima-Moralismus,Klima-Moralismus,MISC,,,de,1.0
Karlsruhe,Karlsruhe,MISC,,,de,1.0
Poller-Wahnsinn,Poller-Wahnsinn,MISC,,,de,1.0
Die neue Schaltstelle der Industrie,Die neue Schaltstelle der Industrie,MISC,,,de,1.0
Agora Verkehrswende,Agora Verkehrswende,MISC,,,de,1.0
ih…,ih…,MISC,,,de,1.0
SPD-Minister,SPD-Minister,MISC,,,de,1.0
Ostdeutsche Verbraucher,Ostdeutsche Verbraucher,MISC,,,de,1.0
SPD-Spitzenkandidat für die Landtagswahl in Sachsen-Anhalt,SPD-Spitzenkandidat für die Landtagswahl in Sachsen-Anhalt,MISC,,,de,1.0
Bioenergie-Branche,Bioenergie-Branche,MISC,,,de,1.0
Ostdeutschlands be…,Ostdeutschlands be…,MISC,,,de,1.0
Pelletheizung,Pelletheizung,MISC,,,de,1.0
Die irreführende Holzheizungs-Prognose,Die irreführende Holzheizungs-Prognose,MISC,,,de,1.0
europäische,europäische,MISC,,,de,1.0
Kraftwerks-Jubiläum,Kraftwerks-Jubiläum,MISC,,,de,1.0
Die Blockade der Straße von Hormus,Die Blockade der Straße von Hormus,MISC,,,de,1.0
Nachrichten-Depression,Nachrichten-Depression,MISC,,,de,1.0
Krieg,Krieg,MISC,,,de,1.0
K…,K…,MISC,,,de,1.0
Biomüll der Stadt,Biomüll der Stadt,MISC,,,de,1.0
Stichtag,Stichtag,MISC,,,de,1.0
Zeit d…,Zeit d…,MISC,,,de,1.0
Schienen-Maut,Schienen-Maut,MISC,,,de,1.0
Ein neuer Batteriespeicherverbund,Ein neuer Batteriespeicherverbund,MISC,,,de,1.0
PV und Wind,PV und Wind,MISC,,,de,1.0
NOrd,NOrd,MISC,,,de,1.0
Auf…,Auf…,MISC,,,de,1.0
ARD-Deutschlandtrend,ARD-Deutschlandtrend,MISC,,,de,1.0
Rek…,Rek…,MISC,,,de,1.0
DWD-Attributionsstudie,DWD-Attributionsstudie,MISC,,,de,1.0
Wasserstoff-Kernnetz,Wasserstoff-Kernnetz,MISC,,,de,1.0
d…,d…,MISC,,,de,1.0
Deutsche,Deutsche,MISC,,,de,1.0
Nicht-EU-Ausländer,Nicht-EU-Ausländer,MISC,,,de,1.0
Wir brauchen Sicherheit,Wir brauchen Sicherheit,MISC,,,de,1.0
Sattheit,Sattheit,MISC,,,de,1.0
Zentrum“,Zentrum“,MISC,,,de,1.0
Hochtouren,Hochtouren,MISC,,,de,1.0
i…,i…,MISC,,,de,1.0
hessische,hessische,MISC,,,de,1.0
bayrischen,bayrischen,MISC,,,de,1.0
Mensc…,Mensc…,MISC,,,de,1.0
Smart Meter light,Smart Meter light,MISC,,,de,1.0
LED-Wall,LED-Wall,MISC,,,de,1.0
Ohne den Klimawandel,Ohne den Klimawandel,MISC,,,de,1.0
Sommerurlaub,Sommerurlaub,MISC,,,de,1.0
Hessen 600,Hessen 600,MISC,,,de,1.0
Juni-Hitzewelle,Juni-Hitzewelle,MISC,,,de,1.0
Walther-Rode-Preis,Walther-Rode-Preis,MISC,,,de,1.0
Brä…,Brä…,MISC,,,de,1.0
Hitz…,Hitz…,MISC,,,de,1.0
Ökostrom-Förderung,Ökostrom-Förderung,MISC,,,de,1.0
G…,G…,MISC,,,de,1.0
bayerisches,bayerisches,MISC,,,de,1.0
Hitzewelle und Klimawandel“,Hitzewelle und Klimawandel“,MISC,,,de,1.0
Heterodisulfi…,Heterodisulfi…,MISC,,,de,1.0
Marburger Forscher,Marburger Forscher,MISC,,,de,1.0
Energiepflanze Mais,Energiepflanze Mais,MISC,,,de,1.0
Energiewende in Polen,Energiewende in Polen,MISC,,,de,1.0
Wasserstoff-Boom,Wasserstoff-Boom,MISC,,,de,1.0
Trinkwasser“,Trinkwasser“,MISC,,,de,1.0
britische BP-Konzern,britische BP-Konzern,MISC,,,de,1.0
britische,britische,MISC,,,de,1.0
Präsidentschaftswahl im Jahr 2027,Präsidentschaftswahl im Jahr 2027,MISC,,,de,1.0
Special,Special,MISC,,,de,1.0
Der Rhein,Der Rhein,MISC,,,de,1.0
Le-Pen-Partei,Le-Pen-Partei,MISC,,,de,1.0
Mais bien,Mais bien,MISC,,,de,1.0
UmdenkeN,UmdenkeN,MISC,,,de,1.0
Leuna“,Leuna“,MISC,,,de,1.0
El Niño,El Niño,MISC,,,de,1.0
Klimawandels…,Klimawandels…,MISC,,,de,1.0
Wirtschaftsministerin,Wirtschaftsministerin,MISC,,,de,1.0
SpotMyEnergy,SpotMyEnergy,MISC,,,de,1.0
Energiesicherheit in Gefahr,Energiesicherheit in Gefahr,MISC,,,de,1.0
Vakuumkammer d…,Vakuumkammer d…,MISC,,,de,1.0
US-Forscher,US-Forscher,MISC,,,de,1.0
"ORF
","ORF
",MISC,,,de,1.0
ZiB 2,ZiB 2,MISC,,,de,1.0
Tages,Tages,MISC,,,de,1.0
"IMAGO/Bihlmayerfotografie
","IMAGO/Bihlmayerfotografie
",MISC,,,de,1.0
Maisdeckel,Maisdeckel,MISC,,,de,1.0
Science“-Studie,Science“-Studie,MISC,,,de,1.0
Ein kleiner Kern,Ein kleiner Kern,MISC,,,de,1.0
Montagearbeiten,Montagearbeiten,MISC,,,de,1.0
Temperatur-Rekorde,Temperatur-Rekorde,MISC,,,de,1.0
Deutschland jedes Jahr 80,Deutschland jedes Jahr 80,MISC,,,de,1.0
Euro im Jahr,Euro im Jahr,MISC,,,de,1.0
Next Kraftwerke-Gründer,Next Kraftwerke-Gründer,MISC,,,de,1.0
Klimawandels …,Klimawandels …,MISC,,,de,1.0
Kölner,Kölner,MISC,,,de,1.0
Schöngefärbte Energiewende,Schöngefärbte Energiewende,MISC,,,de,1.0
Neues Buch,Neues Buch,MISC,,,de,1.0
e…,e…,MISC,,,de,1.0
Gefahr durch Niedrigwasser,Gefahr durch Niedrigwasser,MISC,,,de,1.0
Newsletter,Newsletter,MISC,,,de,1.0
DIHK-Umfrage,DIHK-Umfrage,MISC,,,de,1.0
CO₂,CO₂,MISC,,,de,1.0
Wind und Solar,Wind und Solar,MISC,,,de,1.0
Klimawandels,Klimawandels,MISC,,,de,1.0
Ihr seid,Ihr seid,MISC,,,de,1.0
"Prometheus
","Prometheus
",MISC,,,de,1.0
Ener…,Ener…,MISC,-0.5,0.5,de,1.0
Google,Google,MISC,,,de,1.0
früh im Jahr so,früh im Jahr so,MISC,,,de,1.0
Merkel-Jahre,Merkel-Jahre,MISC,,,de,1.0
Kohleausstieg,Kohleausstieg,MISC,,,de,1.0
Grünen-Politiker,Grünen-Politiker,MISC,,,de,1.0
Kohle-Ausstieg,Kohle-Ausstieg,MISC,,,de,1.0
Quantencomputer,Quantencomputer,MISC,,,de,1.0
