,phrase,label,sentiment,subjectivity,language,count
Cookies,Cookies,ORG,0.773255813953488,0.0,de,17.200000000000003
EU,EU,ORG,0.11437908496732023,0.22875816993464046,de,15.300000000000004
CDU,CDU,ORG,0.2937853107344632,0.07062146892655365,de,11.800000000000002
DWD,DWD,ORG,-0.09174311926605502,0.0,de,10.900000000000002
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,7.300000000000001
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.04687500000000001,0.0,de,6.4
BASIC thinking,BASIC thinking,ORG,0.0,0.2173913043478261,de,4.6
Rekorde,Rekorde,ORG,-0.1891891891891892,0.0,de,3.6999999999999997
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.5405405405405406,0.0,de,3.6999999999999997
Neptun-Werft,Neptun-Werft,ORG,-0.1891891891891892,0.0,de,3.6999999999999997
picture alliance,picture alliance,ORG,0.0,0.2702702702702703,de,3.6999999999999997
EWE,EWE,ORG,0.0,0.0,de,2.8
TTS-Player,TTS-Player,ORG,0.35714285714285715,0.0,de,2.8
SANY,SANY,ORG,0.0,0.0,de,2.8
SciLogs,SciLogs,ORG,0.35714285714285715,0.35714285714285715,de,2.8
BASF,BASF,ORG,0.0,0.0,de,2.8
Die Grünen,Die Grünen,ORG,0.35714285714285715,0.0,de,2.8
PFAS,PFAS,ORG,-0.4821428571428572,0.17857142857142858,de,2.8
WMO,WMO,ORG,0.0,0.0,de,2.8
Gewerkschaften,Gewerkschaften,ORG,0.0,0.35714285714285715,de,2.8
Stadtwerke Gießen,Stadtwerke Gießen,ORG,1.0714285714285714,0.0,de,2.8
AfD,AfD,ORG,0.0,0.0,de,2.8
OECD,OECD,ORG,-0.3035714285714286,0.0,de,2.8
CSU,CSU,ORG,0.25,0.0,de,2.8
Zentrums f…,Zentrums f…,ORG,0.0,0.0,de,1.9
SPD,SPD,ORG,-0.8947368421052632,0.0,de,1.9
Salzburg AG,Salzburg AG,ORG,0.7368421052631579,0.0,de,1.9
künf…,künf…,ORG,0.0,0.0,de,1.9
Grüne,Grüne,ORG,0.0,0.0,de,1.9
Grünen,Grünen,ORG,0.3684210526315789,0.0,de,1.9
DHL,DHL,ORG,0.44736842105263164,0.0,de,1.9
Sommer-Bilanz,Sommer-Bilanz,ORG,0.0,0.0,de,1.9
IBM,IBM,ORG,0.4473684210526316,0.0,de,1.9
UNICEF,UNICEF,ORG,-0.8157894736842105,0.0,de,1.9
Rassemblement national,Rassemblement national,ORG,0.5263157894736842,0.2631578947368421,de,1.9
Austrian World Summit,Austrian World Summit,ORG,0.3684210526315789,0.0,de,1.9
Ltd,Ltd,ORG,0.0,0.0,de,1.9
Deutsche Bundesstiftung Umwelt,Deutsche Bundesstiftung Umwelt,ORG,-0.3684210526315789,0.0,de,1.9
BUND,BUND,ORG,-0.3684210526315789,0.0,de,1.9
CSD,CSD,ORG,-0.5263157894736842,0.2631578947368421,de,1.9
SANY Group,SANY Group,ORG,0.0,0.0,de,1.9
F.A.Z.,F.A.Z.,ORG,0.0,0.0,de,1.9
gekappte Heizungsförderung,gekappte Heizungsförderung,ORG,0.0,0.0,de,1.9
RKI,RKI,ORG,0.0,0.0,de,1.9
Europäische Gewerkschaftsbund,Europäische Gewerkschaftsbund,ORG,0.0,0.0,de,1.9
Fu…,Fu…,ORG,0.0,0.0,de,1.9
Deutschland,Deutschland,ORG,0.3684210526315789,0.0,de,1.9
Bundestag,Bundestag,ORG,-0.07894736842105264,0.0,de,1.9
dpa,dpa,ORG,0.0,0.0,de,1.9
Nachtfrost,Nachtfrost,ORG,0.0,0.0,de,1.9
BP,BP,ORG,0.0,0.0,de,1.9
NDR,NDR,ORG,0.0,0.0,de,1.9
Bund,Bund,ORG,-0.18421052631578946,0.2631578947368421,de,1.9
AUVA,AUVA,ORG,0.0,0.0,de,1.9
Shutterstock.com,Shutterstock.com,ORG,-0.5263157894736842,0.0,de,1.9
OOI,OOI,ORG,-0.3684210526315789,0.0,de,1.9
Reiches Energie-Reformpläne,Reiches Energie-Reformpläne,ORG,0.7368421052631579,0.0,de,1.9
NSF,NSF,ORG,-0.3684210526315789,0.0,de,1.9
Woods Hole Oceanographic Institution,Woods Hole Oceanographic Institution,ORG,-0.3684210526315789,0.0,de,1.9
SZ,SZ,ORG,0.0,0.0,de,1.9
Reformpläne der Bundeswirtschaftsministerin,Reformpläne der Bundeswirtschaftsministerin,ORG,0.0,0.0,de,1.9
EWP,EWP,ORG,0.3684210526315789,0.0,de,1.9
Bundesverband Solarwirtschaft,Bundesverband Solarwirtschaft,ORG,0.0,0.0,de,1.0
BMW,BMW,ORG,0.0,0.0,de,1.0
Deutschen Industrie- und Handelskammer,Deutschen Industrie- und Handelskammer,ORG,0.0,0.0,de,1.0
Boulevard Österreichs Heizungsgesetz,Boulevard Österreichs Heizungsgesetz,ORG,0.0,0.0,de,1.0
EU-Klimaziel,EU-Klimaziel,ORG,0.0,0.0,de,1.0
Austrocknun…,Austrocknun…,ORG,0.0,0.0,de,1.0
Heizungsart,Heizungsart,ORG,0.0,0.0,de,1.0
photothek.de,photothek.de,ORG,0.0,0.0,de,1.0
Senats,Senats,ORG,0.0,0.0,de,1.0
riecht.2,riecht.2,ORG,1.0,0.0,de,1.0
News Avoidance,News Avoidance,ORG,0.0,0.0,de,1.0
EEG,EEG,ORG,0.7,0.0,de,1.0
Chef…,Chef…,ORG,0.0,0.0,de,1.0
Zentrum für Synthetische Mikrobiologie,Zentrum für Synthetische Mikrobiologie,ORG,0.0,0.0,de,1.0
