,phrase,label,sentiment,subjectivity,language,count
Katherina Reiche,Katherina Reiche,PER,0.6266666666666666,0.08333333333333331,de,10.000000000000002
Donald Trump,Donald Trump,PER,0.0,0.0,de,2.8
Wirtschaftsministerin Reiche,Wirtschaftsministerin Reiche,PER,0.8035714285714286,0.0,de,2.8
Claudia Kemfert,Claudia Kemfert,PER,0.0,0.0,de,1.9
Patrick Schnieder,Patrick Schnieder,PER,-0.5263157894736842,0.5263157894736842,de,1.9
Hans-Peter Hutter,Hans-Peter Hutter,PER,0.0,0.0,de,1.9
Jochen Schwill,Jochen Schwill,PER,0.8947368421052632,0.0,de,1.9
Armin Willingmann,Armin Willingmann,PER,0.3684210526315789,0.0,de,1.9
Robert Habeck,Robert Habeck,PER,0.0,0.0,de,1.9
Wolfgang Biel,Wolfgang Biel,PER,1.0526315789473684,0.0,de,1.9
Arnold Schwarzenegger,Arnold Schwarzenegger,PER,0.3684210526315789,0.0,de,1.9
Uniper-Chef Lewis,Uniper-Chef Lewis,PER,0.0,0.0,de,1.9
Carsten Schneider,Carsten Schneider,PER,-0.7105263157894738,0.0,de,1.9
Kamala Harris,Kamala Harris,PER,0.3684210526315789,0.0,de,1.9
Malik Tillman,Malik Tillman,PER,0.0,0.0,de,1.9
Kohei Saito,Kohei Saito,PER,0.0,0.0,de,1.9
Marie-Claire Zimmermann,Marie-Claire Zimmermann,PER,0.0,0.0,de,1.9
Johann Wadephul,Johann Wadephul,PER,0.0,0.0,de,1.9
Angela Merkel,Angela Merkel,PER,0.0,0.0,de,1.9
Jochen Wegner,Jochen Wegner,PER,0.5263157894736842,0.5263157894736842,de,1.9
Fatih Birol,Fatih Birol,PER,0.0,0.5263157894736842,de,1.9
Bundeswirtschaftsministerin Katherina Reiche,Bundeswirtschaftsministerin Katherina Reiche,PER,0.7368421052631579,0.0,de,1.9
Antonio Piolanti,Antonio Piolanti,PER,0.2631578947368421,0.2631578947368421,de,1.9
Park Gyeong-je,Park Gyeong-je,PER,0.3684210526315789,0.0,de,1.9
Friederike Otto,Friederike Otto,PER,0.0,0.0,de,1.9
Jürgen Trittin,Jürgen Trittin,PER,-0.5263157894736842,0.0,de,1.9
Greta Thunberg,Greta Thunberg,PER,0.0,0.0,de,1.0
Hängender Beton,Hängender Beton,PER,0.0,0.0,de,1.0
Jan Schuller,Jan Schuller,PER,0.0,0.0,de,1.0
Omnipräsente Fächer,Omnipräsente Fächer,PER,0.0,0.0,de,1.0
Noel Schmidt,Noel Schmidt,PER,0.0,0.0,de,1.0
Robert Koch-Instituts,Robert Koch-Instituts,PER,-1.0,0.0,de,1.0
Marcus Wadsak,Marcus Wadsak,PER,0.0,0.0,de,1.0
Thorsten Glauber,Thorsten Glauber,PER,0.0,0.0,de,1.0
Dietmar Woidke,Dietmar Woidke,PER,0.0,0.0,de,1.0
Herr Stamatelopoulos,Herr Stamatelopoulos,PER,0.7,0.0,de,1.0
Olaf Lies,Olaf Lies,PER,0.0,1.0,de,1.0
Daniel Waschow,Daniel Waschow,PER,0.0,1.0,de,1.0
Flusskrebsmanager Jeremy Hübner,Flusskrebsmanager Jeremy Hübner,PER,-1.0,0.0,de,1.0
Christian Kullmann,Christian Kullmann,PER,0.0,0.0,de,1.0
Florian Zinner,Florian Zinner,PER,0.0,0.0,de,1.0
Verbraucher schneller,Verbraucher schneller,PER,0.7,0.0,de,1.0
solarem Geoengineering,solarem Geoengineering,PER,0.0,1.0,de,1.0
Georg Kreuter von Waste2Energy,Georg Kreuter von Waste2Energy,PER,0.0,0.0,de,1.0
Jörg Kachelmann,Jörg Kachelmann,PER,0.0,0.0,de,1.0
Wetter-Experte Jörg Kachelmann,Wetter-Experte Jörg Kachelmann,PER,-0.7,0.0,de,1.0
Christoph Martin Vogtherr,Christoph Martin Vogtherr,PER,1.0,0.0,de,1.0
Kalifornien ä,Kalifornien ä,PER,-0.7,0.0,de,1.0
Thea Riofrancos,Thea Riofrancos,PER,-0.7,0.0,de,1.0
Karl Steininger,Karl Steininger,PER,0.0,0.0,de,1.0
Klimaforscher Steininger,Klimaforscher Steininger,PER,0.0,0.0,de,1.0
Donald Tusk,Donald Tusk,PER,0.7,0.0,de,1.0
Alois Rainer,Alois Rainer,PER,0.0,0.0,de,1.0
Le Pen,Le Pen,PER,0.0,0.0,de,1.0
Narendra Modi,Narendra Modi,PER,0.0,1.0,de,1.0
Oda Lambrecht,Oda Lambrecht,PER,0.0,0.0,de,1.0
Georg Stamatelopoulos,Georg Stamatelopoulos,PER,0.0,0.0,de,1.0
Juri Sonnenholzner,Juri Sonnenholzner,PER,0.0,0.0,de,1.0
Mario Petzold,Mario Petzold,PER,0.7,0.0,de,1.0
Philipp Wieser,Philipp Wieser,PER,0.0,0.0,de,1.0
Katherina Reich,Katherina Reich,PER,0.0,0.0,de,1.0
Wirtschaftsministerin Katherina Reiche,Wirtschaftsministerin Katherina Reiche,PER,0.35,0.5,de,1.0
Inga Strümke,Inga Strümke,PER,0.0,0.0,de,1.0
Johan Rockström,Johan Rockström,PER,0.0,0.0,de,1.0
Johan Roc,Johan Roc,PER,0.0,0.0,de,1.0
Gerd Schöller,Gerd Schöller,PER,0.7,0.0,de,1.0
Christoph Hödl,Christoph Hödl,PER,0.0,0.0,de,1.0
Gerhard Meister,Gerhard Meister,PER,0.0,0.0,de,1.0
Katharina Seper,Katharina Seper,PER,0.0,0.0,de,1.0
Hinrich Knoke,Hinrich Knoke,PER,0.0,0.0,de,1.0
Katherina Reic,Katherina Reic,PER,-0.7,0.0,de,1.0
Friedrich Merz,Friedrich Merz,PER,0.35,0.5,de,1.0
CDU-Wirtschaftsministerin Reiche,CDU-Wirtschaftsministerin Reiche,PER,0.7,0.0,de,1.0
Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,PER,0.0,0.0,de,1.0
Gunnar Schupelius,Gunnar Schupelius,PER,0.0,0.0,de,1.0
Henning Lorang,Henning Lorang,PER,0.4666666666666666,0.3333333333333333,de,1.0
Christian Meyer von den Grünen,Christian Meyer von den Grünen,PER,0.7,0.0,de,1.0
Sachsens Wirtschaftsminister,Sachsens Wirtschaftsminister,PER,0.0,0.0,de,1.0
Mariah Blake,Mariah Blake,PER,-1.0,0.0,de,1.0
Lars Rathing,Lars Rathing,PER,0.0,0.0,de,1.0
Andreas Tönies,Andreas Tönies,PER,0.0,0.0,de,1.0
Celsius heißer,Celsius heißer,PER,0.7,0.0,de,1.0
Geothermie-Bohrer Daldrup,Geothermie-Bohrer Daldrup,PER,0.0,0.0,de,1.0
AfD-Chefin Weidel,AfD-Chefin Weidel,PER,0.0,0.0,de,1.0
Klimawandel Südkorea,Klimawandel Südkorea,PER,0.0,0.0,de,1.0
Hannes Loth,Hannes Loth,PER,0.0,0.0,de,1.0
Anette Kolb,Anette Kolb,PER,0.0,0.0,de,1.0
Katharina Reiches,Katharina Reiches,PER,0.2333333333333333,0.6666666666666666,de,1.0
Marshall Burke,Marshall Burke,PER,0.0,0.0,de,1.0
Rudi Carrell,Rudi Carrell,PER,0.0,0.0,de,1.0
Sebastian Zwickl-Bernhard,Sebastian Zwickl-Bernhard,PER,0.0,0.0,de,1.0
Ferdinand Rammrath,Ferdinand Rammrath,PER,0.7,0.0,de,1.0
Jan Kerckhoff,Jan Kerckhoff,PER,0.0,0.0,de,1.0
Grad Celsius,Grad Celsius,PER,0.0,0.0,de,1.0
Friedhelm Greis,Friedhelm Greis,PER,0.7,0.0,de,1.0
Axel Bojanowski,Axel Bojanowski,PER,0.0,0.0,de,1.0
Investoren wittern,Investoren wittern,PER,0.0,0.0,de,1.0
Antonio Guterres,Antonio Guterres,PER,0.0,0.0,de,1.0
Josef Fraundorfer,Josef Fraundorfer,PER,1.0,0.0,de,1.0
Leverkusens US-Profi,Leverkusens US-Profi,PER,0.0,0.0,de,1.0
Nahverkehrsatlas von Agora,Nahverkehrsatlas von Agora,PER,1.0,0.0,de,1.0
