,Energiewende,Verkehrswende,Geo_Engineering,Oekologie,Tipping_Points,Klimawandel,Landwirtschaft,Klimaextreme,Gesundheit,Wasserversorgung,Waermewende,Industrie,Urbane_Hitzeinsel,Invalid
2026-05-09,0.0,0.0,0.0,0.0,0,2.7,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-10,0.0,0.0,0.0,0.0,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-11,2.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-13,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0,0
2026-05-14,0.0,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-05-16,0.0,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-18,2.7,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0,0
2026-05-19,0.9,0.0,0.0,0.0,0,1.8,0.0,0.0,0.9,0.0,0.0,0.0,0,0
2026-05-20,1.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0,0
2026-05-21,1.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-22,4.5,0.0,0.0,0.0,0,2.7,1.8,0.0,0.0,0.0,1.8,0.0,0,0
2026-05-23,0.0,0.0,0.0,0.0,0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0,0
2026-05-24,0.0,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0,0
2026-05-25,1.8,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0,0
2026-05-26,1.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-27,6.300000000000001,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.9,0.9,0,0
2026-05-28,0.9,0.0,0.0,0.0,0,3.6,0.0,0.0,0.9,0.0,0.9,0.9,0,0
2026-05-29,3.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-30,4.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-05-31,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-06-02,1.8,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-03,1.8,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-04,0.9,0.0,0.0,0.0,0,2.7,0.9,0.0,0.0,0.0,0.0,0.9,0,0
2026-06-05,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-06,0.9,0.0,0.0,0.0,0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-07,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-08,2.7,0.0,0.0,0.0,0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-09,2.7,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0,0
2026-06-10,2.7,0.0,0.0,0.0,0,5.4,0.0,2.7,0.0,0.0,0.0,0.9,0,0
2026-06-11,3.6,0.0,0.0,0.0,0,2.7,0.0,0.0,0.9,0.0,0.9,0.9,0,0
2026-06-12,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.9,0.0,0.0,0.9,0,0
2026-06-13,0.0,0.0,0.0,0.0,0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-14,0.9,0.0,0.0,0.0,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-15,3.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-06-16,3.6,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,1.8,0.0,0,0
2026-06-17,5.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0,0
2026-06-18,2.7,0.0,0.0,0.0,0,7.200000000000001,0.9,0.0,0.9,0.0,1.8,0.0,0,0
2026-06-19,2.7,0.0,0.0,0.0,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-20,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0,0
2026-06-21,0.0,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
