keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Balkonkraftwerk',de,Energiewende,#88ff88,#88ff88,1,0.8115991988342531
'Bioenergie',de,Energiewende,#88ff88,#88ff88,1,0.79935006
'Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,2,0.71433215
'Batterieproduktion',de,Energiewende,#88ff88,#88ff88,1,0.6902003000000001
'Batteriegroßspeicher',de,Energiewende,#88ff88,#88ff88,1,0.680150015
'Geoengineering',de,Geo_Engineering,#00ffff,#00ffff,1,0.66280003
'Biogas',de,Energiewende,#88ff88,#88ff88,1,0.6623123639999999
'Spitzenlast Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.5404825982499999
'Batteriespeicher',de,Energiewende,#88ff88,#88ff88,3,0.5230811558737499
'fossile Brennstoffe',de,Energiewende,#88ff88,#88ff88,2,0.4874961043647727
'Kernfusion',de,Energiewende,#88ff88,#88ff88,2,0.4873230137232142
'Ökologie Klimawandel',de,Oekologie,#88ffff,#88ffff,1,0.3837907809769642
'Tipping Points Klimawandel',de,Tipping_Points,#ffff88,#ffff88,1,0.3111500690669685
'Klimawandel',de,Klimawandel,#ff0000,#ff0000,3,0.2371006373278845
'Landwirtschaft Klimawandel',de,Landwirtschaft,#00ff00,#00ff00,3,0.2359644535828061
'Verbrenner-Aus Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.2214692006221303
'Klimaextreme Klimawandel',de,Klimaextreme,#0000ff,#0000ff,2,0.2101041742076703
'Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.2056923524584981
'Windkraft Energiewende',de,Energiewende,#88ff88,#88ff88,2,0.2026370035185741
'Gesundheit Klimawandel',de,Gesundheit,#ff8888,#ff8888,3,0.1991319671621288
'Solaranlagen Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.1937353691484068
'Fracking Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1905865387592852
'Energiewende Klimawandel',de,Energiewende,#ff88ff,#ff88ff,1,0.1898437218694051
'Wasserversorgung Klimawandel',de,Wasserversorgung,#ffffff,#ffffff,2,0.1871170669790395
'Wärmewende',de,Waermewende,#ffff00,#ffff00,1,0.1844543241316996
'Kernkraft Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1843145978991763
'erneuerbare Energien Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.1814405910684791
'Wasserstoff Energiewende',de,Energiewende,#88ff88,#88ff88,2,0.1781984610497503
'Netzausbau Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1764858684304617
'Industrie Klimawandel',de,Industrie,#000000,#000000,2,0.1707173632890979
'Stromspeicher Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1705313343910755
'Gaskraftwerke Energiewende',de,Energiewende,#88ff88,#88ff88,2,0.1656700513412904
'fossile Subventionen Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1535806397050337
'Dunkelflaute Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1496845022363086
'Lithium Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1249913092656595
'Urbane Hitzeinsel',de,Urbane_Hitzeinsel,#ff00ff,#ff00ff,1,0.08511188704539725
